lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,raw_abs_delta_z_lt_50m,5,avamet,graphcast_hres_init,26757,38,363,1.563525988730459,1.508687452182412,1.6217150706307726,0.9345,1
24,raw_abs_delta_z_lt_50m,5,avamet,ifs_hres,26757,38,363,1.5870888356210981,1.53263325937616,1.6440093053279503,0.0655,2
24,raw_abs_delta_z_lt_50m,5,avamet,pangu_hres_init,26757,38,363,1.6193480723205194,1.5578000615600673,1.6829500274688427,0.0,3
24,raw_abs_delta_z_lt_50m,5,era5_station,pangu_hres_init,26757,38,363,0.7976484303092092,0.7693163743094699,0.8267175086221017,1.0,1
24,raw_abs_delta_z_lt_50m,5,era5_station,graphcast_hres_init,26757,38,363,0.8757542969760407,0.8488022391174428,0.9014246909152337,0.0,2
24,raw_abs_delta_z_lt_50m,5,era5_station,ifs_hres,26757,38,363,1.078087852721253,1.0390098443473947,1.1175237709620673,0.0,3
24,raw_abs_delta_z_lt_50m,7,avamet,graphcast_hres_init,26757,38,363,1.563525988730459,1.5083519409202053,1.6234292208601624,0.92,1
24,raw_abs_delta_z_lt_50m,7,avamet,ifs_hres,26757,38,363,1.5870888356210981,1.5289065283303542,1.6449550152693966,0.08,2
24,raw_abs_delta_z_lt_50m,7,avamet,pangu_hres_init,26757,38,363,1.6193480723205194,1.5578460703102026,1.6843998744200799,0.0,3
24,raw_abs_delta_z_lt_50m,7,era5_station,pangu_hres_init,26757,38,363,0.7976484303092092,0.7676633923730511,0.8277138293829023,1.0,1
24,raw_abs_delta_z_lt_50m,7,era5_station,graphcast_hres_init,26757,38,363,0.8757542969760407,0.8494363351970737,0.9024965621476624,0.0,2
24,raw_abs_delta_z_lt_50m,7,era5_station,ifs_hres,26757,38,363,1.078087852721253,1.0408701105774538,1.1162342167692931,0.0,3
24,raw_all_stations,1,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5965972293370627,1.6496433902314016,1.0,1
24,raw_all_stations,1,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6626774197611525,1.7258836674729388,0.0,2
24,raw_all_stations,1,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.676711842581529,1.7381699180890395,0.0,3
24,raw_all_stations,1,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8380668695324356,0.8867517045733544,1.0,1
24,raw_all_stations,1,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9113807157934373,0.9590957463997465,0.0,2
24,raw_all_stations,1,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1279032142396885,1.1890581309392445,0.0,3
24,raw_all_stations,3,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5856413792298167,1.6583880245288445,1.0,1
24,raw_all_stations,3,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6513774181166547,1.7354143493874519,0.0,2
24,raw_all_stations,3,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6628917904123752,1.75292216644943,0.0,3
24,raw_all_stations,3,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8345088354617224,0.8881551744937219,1.0,1
24,raw_all_stations,3,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.906418660559331,0.9618668829493638,0.0,2
24,raw_all_stations,3,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1222776412415107,1.195603295849178,0.0,3
24,raw_all_stations,5,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5839943023491274,1.6622524507107372,1.0,1
24,raw_all_stations,5,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.6497730369306365,1.7412509610852227,0.0,2
24,raw_all_stations,5,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.6579881004109744,1.7595080347968173,0.0,3
24,raw_all_stations,5,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8318485035804567,0.8926104105431191,1.0,1
24,raw_all_stations,5,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9051253574710406,0.9651461846684066,0.0,2
24,raw_all_stations,5,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1149168868250463,1.1996271386184758,0.0,3
24,raw_all_stations,7,avamet,graphcast_hres_init,102976,146,363,1.6224069212963694,1.5807078238560421,1.664378677951378,1.0,1
24,raw_all_stations,7,avamet,pangu_hres_init,102976,146,363,1.693996771231119,1.647611024924201,1.7434881000491578,0.0,2
24,raw_all_stations,7,avamet,ifs_hres,102976,146,363,1.7072449741875058,1.655147543357679,1.7633655717164032,0.0,3
24,raw_all_stations,7,era5_station,pangu_hres_init,102976,146,363,0.8615041657776651,0.8291737582603796,0.8941864156090388,1.0,1
24,raw_all_stations,7,era5_station,graphcast_hres_init,102976,146,363,0.9342771396841917,0.9023235897743077,0.9669696664769143,0.0,2
24,raw_all_stations,7,era5_station,ifs_hres,102976,146,363,1.1581661876510214,1.1162766745421584,1.2036612449650546,0.0,3
48,lapse_rate_5_K_per_km_all_stations,1,avamet,graphcast_hres_init,102694,146,362,1.5076586929030185,1.4734925269553394,1.5415765786127387,1.0,1
48,lapse_rate_5_K_per_km_all_stations,1,avamet,pangu_hres_init,102694,146,362,1.6089513572237737,1.5688463484948783,1.6482390265647777,0.0,2
48,lapse_rate_5_K_per_km_all_stations,1,avamet,ifs_hres,102694,146,362,1.6340783717710892,1.5972344770712983,1.6698321360445163,0.0,3
48,lapse_rate_5_K_per_km_all_stations,1,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8563603976910089,0.914525451067169,1.0,1
48,lapse_rate_5_K_per_km_all_stations,1,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.946384897910371,1.0011697260156995,0.0,2
48,lapse_rate_5_K_per_km_all_stations,1,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.199096975983027,1.270317438207615,0.0,3
48,lapse_rate_5_K_per_km_all_stations,3,avamet,graphcast_hres_init,102694,146,362,1.5076586929030185,1.4635436328118492,1.5524647096657482,1.0,1
48,lapse_rate_5_K_per_km_all_stations,3,avamet,pangu_hres_init,102694,146,362,1.6089513572237737,1.5616199630996956,1.6587886487101817,0.0,2
48,lapse_rate_5_K_per_km_all_stations,3,avamet,ifs_hres,102694,146,362,1.6340783717710892,1.588754500528331,1.6833978485513956,0.0,3
48,lapse_rate_5_K_per_km_all_stations,3,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8529599813039677,0.9164816507141776,1.0,1
48,lapse_rate_5_K_per_km_all_stations,3,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.9427914381431133,1.005772093965794,0.0,2
48,lapse_rate_5_K_per_km_all_stations,3,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.1874987949996454,1.2765034237424986,0.0,3
48,lapse_rate_5_K_per_km_all_stations,5,avamet,graphcast_hres_init,102694,146,362,1.5076586929030185,1.4613025493348055,1.5583394093062808,1.0,1
48,lapse_rate_5_K_per_km_all_stations,5,avamet,pangu_hres_init,102694,146,362,1.6089513572237737,1.558933562131443,1.6634861850271057,0.0,2
