unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
station,nearest,all_eligible,3,era5,pangu_hres_init,102976,146,363,0.9757739901542664,0.9467827156186104,1.004699918627739,0.9665,1,24
station,nearest,all_eligible,3,era5,graphcast_hres_init,102976,146,363,1.0036394596099854,0.9780413195490837,1.029647833108902,0.0335,2,24
station,nearest,all_eligible,3,era5,ifs_hres,102976,146,363,1.292497158050537,1.2605925053358078,1.325813391804695,0.0,3,24
station,nearest,all_eligible,5,avamet,graphcast_hres_init,102976,146,363,1.6770421900531476,1.6391652155514376,1.7212939180999345,1.0,1,24
station,nearest,all_eligible,5,avamet,pangu_hres_init,102976,146,363,1.7473526521732157,1.7032836208257576,1.7965860344216538,0.0,2,24
station,nearest,all_eligible,5,avamet,ifs_hres,102976,146,363,1.8161299030972393,1.772712378621696,1.8671507447910594,0.0,3,24
station,nearest,all_eligible,5,era5,pangu_hres_init,102976,146,363,0.9757739901542664,0.9440825715661049,1.008143550157547,0.948,1,24
station,nearest,all_eligible,5,era5,graphcast_hres_init,102976,146,363,1.0036394596099854,0.9754452988505363,1.032947826385498,0.052,2,24
station,nearest,all_eligible,5,era5,ifs_hres,102976,146,363,1.292497158050537,1.2562908947467804,1.3282809913158418,0.0,3,24
station,nearest,all_eligible,7,avamet,graphcast_hres_init,102976,146,363,1.6770421900531476,1.6349728047745173,1.7233663682616327,1.0,1,24
station,nearest,all_eligible,7,avamet,pangu_hres_init,102976,146,363,1.7473526521732157,1.699419078127628,1.800826433298956,0.0,2,24
